label;title;study;author;year;country;stars;post_2018;matched;center;method;robins;population;n_exp;n_ctrl;baseline;eq_baseline;duration;start;end
1426;Comparison of the Trifecta outcomes of robotic and open nephron-sparing surgeries performed in the robotic era of a single institution;Acar et al. 2015;Acar et al.;2015;Turkey;7;0;0;single;RAPN;Moderate;133;59;74;OPN: older pts, higher RENAL & PADUA scores  ;0;1705;1/5/2010;31/12/2014
1665;Prediction of significant renal function decline after open, laparoscopic, and robotic partial nephrectomy: External validation of the Martini's nomogram on the RECORD2 project cohort;Antonelli et al. 2022;Antonelli et al.;2022;Italy;8;1;0;multi;RAPN;Low;1867;981;886;"OPN: retroperitoneal approach;RAPN: enucleation, on-clamp technique";0;1460;1/1/2013;31/12/2016
1653;Clinical and oncological outcomes of open partial nephrectomy versus robot assisted partial nephrectomy over 15 years;Audige et al. 2022;Audige et al.;2022;France;7;1;0;multi;RAPN;Moderate;405;201;204;OPN: older pts, higher CCI, lower RENAL score;0;4747;1/1/2007;31/12/2019
1014;Nephrometry score matched robotic vs. laparoscopic vs. open partial nephrectomy;Banapour et al. 2018;Banapour et al.;2018;USA;6;1;1;multi;RPN;Moderate;339;163;176;OPN: older pts, higher CCI (matched for RENAL score);0;2921;1/1/2007;31/12/2014
1410;Which patients with clinical localized renal mass would achieve the Trifecta after partial nephrectomy? The impact of surgical technique;Bianchi et al. 2020;Bianchi et al.;2020;Italy;7;1;0;single;RAPN;Moderate;326;83;243;"No special population;OPN: higher RENAL score";0;4382;1/1/2006;31/12/2017
1017;Comparison of surgical, functional, and oncological outcomes of open and robot-assisted partial nephrectomy;Boylu et al. 2015;Boylu et al.;2015;Turkey;7;0;0;single;RAPN;Moderate;66;46;20;"RAPN: higher ASA score;OPN: higher RENAL score";0;1825;1/1/2009;31/12/2013
1019;Perioperative outcomes of open, laparoscopic, and robotic partial nephrectomy: A prospective multicenter observational study (The RECORd 2 Project);Bravi et al. 2019;Bravi et al.;2019;Italy;9;1;0;multi;RPN;Low;1471;789;682;OPN: older pts, higher PADUA score, higher rate of solitary kidneys;0;1460;1/1/2013;31/12/2016
1727;The IRON study: Investigation of robot-assisted versus open nephron-sparing surgery;Bravi et al. 2023;Bravi et al.;2023;Italy;8;1;1;multi;RAPN;Low;3467;2404;1063;OPN: older pts, lower preoperative eGFR, higher rate of solitary kidneys ;0;5478;1/1/2004;31/12/2018
1662;A prospective, multi-institutional study of perioperative morbidities in the patients of renal cell carcinoma undergoing either open nephron sparing surgery or robotic nephron sparing surgery in fifty cases;Chandra et al. 2019;Chandra et al.;2019;India;6;1;0;multi;RAPN;Serious;50;30;20;"No special population;No differences";1;790;1/3/2016;30/4/2018
1026;Functional and oncologic outcomes of open, laparoscopic and robotic partial nephrectomy: A multicenter comparative matched-pair analysis with a median 5 years follow up;Chang et al. 2018;Chang et al.;2018;Korea;8;1;1;multi;RAPN;Low;244;122;122;"No special population;No differences";1;2556;1/1/2006;31/12/2012
