label;study;year;country;center;matching;stars;robins;post2018;start;end;evexp;nonevexp;nexp;evctrl;nonevctrl;nctrl
1426;Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/5/2010;31/12/2014;13;46;59;15;59;74
1653;Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2007;31/12/2019;26;175;201;29;175;204
1595;Benichou et al. 2022;2022;France;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/1988;31/12/2020;7;75;82;11;57;68
1410;Bianchi et al. 2020;2020;Italy;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2006;31/12/2017;15;68;83;71;172;243
1531;Borghesi et al. 2018;2018;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2011;31/12/2015;4;48;52;8;44;52
1594;Chessa et al. 2019;2019;Italy;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;31/12/2017;31/12/2018;14;87;101;92;201;293
1527;Choi et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2004;31/12/2012;23;206;229;61;224;285
1536;Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/1/2011;19;181;200;34;166;200
1726;Gandi et al. 2022;2022;Italy;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2014;31/12/2019;8;63;71;10;61;71
1038;Garisto et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2006;31/12/2016;43;160;203;23;53;76
1037;Garisto et al. 2018;2018;USA;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2006;31/12/2017;9;42;51;25;77;102
1040;Ghali et al. 2019;2019;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/7/2008;30/6/2016;6;53;59;22;69;91
1538;Han et al. 2017;2017;Korea;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1/7/2011;30/4/2014;3;144;147;21;333;354
1748;Hoeh et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2003;31/1/2021;29;105;134;141;340;481
1648;Jelley et al. 2017;2017;UK;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2010;31/12/2015;5;72;77;9;73;82
1533;Kara et al. 2016;2016;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2011;31/1/2016;12;75;87;14;42;56
1657;Kim et al. 2012;2012;Korea;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/4/2009;30/6/2011;7;60;67;14;69;83
1067;Kowalewski et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2010;31/12/2018;7;76;83;54;111;165
1735;Kowalewski et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;9;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2020;1/1/2022;0;25;25;11;14;25
1676;Laydner et al. 2013;2013;USA;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/3/2002;31/5/2012;120;434;554;46;158;204
1077;Lucas et al. 2012;2012;USA;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2004;31/12/2010;3;24;27;6;48;54
1079;Luciani et al. 2017;2017;Italy;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2005;30/6/2016;23;87;110;20;53;73
1082;Mano et al. 2015;2015;USA;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2011;31/12/2011;4;59;63;14;176;190
1542;Masson-Lecomte et al. 2013;2013;France;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2008;31/12/2010;4;38;42;6;52;58
1537;Maurice et al. 2017;2017;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2011;31/12/2015;55;360;415;53;137;190
1532;Miyake et al. 2015;2015;Japan;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2012;31/5/2014;0;16;16;1;14;15
1530;Nelson et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2011;30/9/2016;3;28;31;42;128;170
1113;Porpiglia et al. 2016;2016;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/12/2013;4;91;95;13;120;133
1121;Sagalovich et al. 2018;2018;USA;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2011;31/12/2016;20;80;100;16;48;64
1055;Sawada et al. 2021;2021;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2005;31/12/2020;3;55;58;8;50;58
1130;Smith et al. 2019;2019;New Zealand;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2015;31/10/2018;2;24;26;18;25;43
1131;Soisrithong et al. 2021;2021;Thailand;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2009;31/12/2018;38;3;41;16;2;18
1539;Takagi et al. 2016;2016;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2012;31/12/2014;5;43;48;13;35;48
1535;Takagi et al. 2017;2017;Japan;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2012;31/12/2015;0;40;40;8;32;40
1135;Tan et al. 2018;2018;Australia;Single-center studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2010;31/12/2016;7;138;145;8;47;55
1142;Vittori et al. 2014;2014;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2010;31/12/2011;5;100;105;24;174;198
1144;Wang et al. 2016;2016;China;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2007;31/12/2014;25;165;190;46;144;190
1153;Wu et al. 2014;2014;China;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/12/2013;12;39;51;16;78;94
