label;study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
1002;Abedali et al. 2020;2020;USA;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/11/2008;31/7/2016;148;19.7;8.2;74;25.5;16.8
1001;Abedali et al. 2020;2020;USA;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2004;31/12/2016;11;10.6;7.4;12;20.6;17
1647;Acar et al. 2014;2014;Turkey;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/5/2010;31/12/2014;19;22.4;5.6;28;17.5;7.08
1426;Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/5/2010;31/12/2014;59;8.3;11.4;74;7.6;9.5
1665;Antonelli et al. 2022;2022;Italy;Multicenter studies;Studies without patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2013;31/12/2016;981;16;5.926;886;16;5.926
1653;Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2007;31/12/2019;201;16.9;6.14;204;11.4;8.13
1731;Baghli et al. 2023;2023;France;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2008;31/12/2019;184;17;6;137;15;6
1014;Banapour et al. 2018;2018;USA;Multicenter studies;Studies with patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2007;31/12/2014;163;21;8.148;176;31;17.037
1595;Benichou et al. 2022;2022;France;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/1988;31/12/2020;60;16.2;9.5;52;19.6;13.9
1410;Bianchi et al. 2020;2020;Italy;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2006;31/12/2017;65;14;5.185;175;14;5.926
1405;Bindayi et al. 2020;2020;USA;Multicenter studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2000;31/12/2016;152;19.3;7.5;325;23.1;13.1
1531;Borghesi et al. 2018;2018;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2011;31/12/2015;27;15;6.667;32;13;7.407
1017;Boylu et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2009;31/12/2013;45;23;7.3;19;18;3.5
1019;Bravi et al. 2019;2019;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2013;31/12/2016;789;15;6.667;682;16;5.185
1727;Bravi et al. 2023;2023;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2004;31/12/2018;2404;16;8.148;1063;15;9.63
