label;study;year;country;center;matching;stars;robins;post2018;eq_baseline;start;end;evexp;nonevexp;nexp;evctrl;nonevctrl;nctrl
1426;Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;0;1/5/2010;31/12/2014;4;55;59;11;63;74
1653;Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2007;31/12/2019;4;197;201;22;182;204
1410;Bianchi et al. 2020;2020;Italy;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2006;31/12/2017;32;51;83;18;225;243
1727;Bravi et al. 2023;2023;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;0;1/1/2004;31/12/2018;97;2307;2404;65;998;1063
1026;Chang et al. 2018;2018;Korea;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1;1/1/2006;31/12/2012;7;115;122;9;113;122
1527;Choi et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2004;31/12/2012;6;223;229;15;270;285
1875;Deka et al. 2024;2024;India;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1;1/1/2012;31/12/2020;3;104;107;4;49;53
1536;Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1;1/1/2009;31/1/2011;9;191;200;9;191;200
1726;Gandi et al. 2022;2022;Italy;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;0;1/1/2014;31/12/2019;3;68;71;2;69;71
1040;Ghali et al. 2019;2019;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/7/2008;30/6/2016;3;56;59;15;76;91
1538;Han et al. 2017;2017;Korea;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;0;1/7/2011;30/4/2014;2;145;147;7;347;354
1748;Hoeh et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2003;31/1/2021;4;130;134;52;429;481
1648;Jelley et al. 2017;2017;UK;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1;1/1/2010;31/12/2015;5;72;77;3;79;82
1657;Kim et al. 2012;2012;Korea;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;0;1/4/2009;30/6/2011;3;64;67;2;81;83
1067;Kowalewski et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1;1/1/2010;31/12/2018;3;80;83;15;150;165
1735;Kowalewski et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;9;Studies with ROBINS-I: Low;Studies published after 2018;1;1/1/2020;1/1/2022;3;22;25;2;23;25
1778;Kumar et al. 2024;2024;India;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;0;1/6/2015;28/2/2022;3;22;25;1;14;15
1656;Lee et al. 2016;2016;Korea;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published before 2018;0;1/1/2007;31/12/2013;1;83;84;2;82;84
1523;Lee et al. 2021;2021;Korea;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;0;1/6/2003;30/4/2017;2;65;67;4;63;67
